learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001443,5.136678616205852E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1376.0
2.0,0.007681,2.7342223458819918E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1376.0
3.0,0.00957,3.406653801600138E-12,3.0,0.0,0.0,0.3333333333333333,0.0,?,0.0,0.2,3.0,1376.0
4.0,0.011343,4.0377924839655555E-12,4.0,0.0,0.0,0.3333333333333333,0.0,?,0.0,0.2,4.0,1376.0
5.0,0.012618,4.491657018661499E-12,5.0,0.0,0.0,0.31666666666666665,0.0,?,0.0,0.2,5.0,1376.0
6.0,0.013672,4.912660353713565E-12,6.0,0.0,0.0,0.2972222222222222,0.0,?,0.0,0.2,6.0,1544.0
7.0,0.015004,5.444706314139895E-12,7.0,0.0,0.0,0.2785714285714286,0.0,?,0.0,0.2,7.0,1544.0
8.0,0.01583,5.774638719028896E-12,8.0,0.0,0.0,0.26160714285714287,0.0,?,0.0,0.2,8.0,1544.0
9.0,0.017226,6.3322484493255616E-12,9.0,0.0,0.0,0.24642857142857144,0.0,?,0.0,0.2,9.0,1544.0
10.0,0.017966,6.627829538451301E-12,10.0,0.0,0.0,0.2328968253968254,0.0,?,0.0,0.2,10.0,1544.0
11.0,0.018611,6.8854644066757625E-12,11.0,0.0,0.0,0.29354256854256855,0.0,?,0.0,0.2,11.0,1544.0
12.0,0.019626,7.290889819463094E-12,12.0,0.0,0.0,0.284232202982203,0.0,?,0.0,0.2,12.0,1544.0
13.0,0.020335,7.57408845755789E-12,13.0,0.0,0.0,0.3264707514707515,0.0,?,0.0,0.2,13.0,1544.0
14.0,0.021136,7.894035014841292E-12,14.0,0.0,0.0,0.3196349285635,0.0,?,0.0,0.2,14.0,1544.0
15.0,0.021849,8.178831388552984E-12,15.0,0.0,0.0,0.3126116476116476,0.0,?,0.0,0.2,15.0,1544.0
16.0,0.022325,8.389649705754386E-12,16.0,0.0,0.0,0.30557341963591966,0.0,?,0.0,0.2,16.0,1712.0
17.0,0.022887,8.63855704665184E-12,17.0,0.0,0.0,0.2986279243632185,0.0,?,0.0,0.2,17.0,1712.0
18.0,0.023337,8.837860077619553E-12,18.0,0.0,0.0,0.29184140568944494,0.0,?,0.0,0.2,18.0,1712.0
19.0,0.023828,9.055321829186546E-12,19.0,0.0,0.0,0.28525326153035135,0.0,?,0.0,0.2,19.0,1712.0
20.0,0.024304,9.266140146387948E-12,20.0,0.0,0.0,0.27888533529593906,0.0,?,0.0,0.2,20.0,1712.0
21.0,0.024811,9.490688227944904E-12,21.0,0.0,0.0,0.27274793837708483,0.0,?,0.0,0.2,21.0,1712.0
22.0,0.025407,9.754654020071029E-12,22.0,0.0,0.0,0.26684381130799656,0.0,?,0.0,0.2,22.0,1712.0
23.0,0.027809,1.0818489309814241E-11,23.0,0.0,0.0,0.2611707602234592,0.0,?,0.0,0.2,23.0,1712.0
24.0,0.028456,1.1105042778783374E-11,24.0,0.0,0.0,0.255723427822844,0.0,?,0.0,0.2,24.0,1712.0
25.0,0.028891,1.1297702375385495E-11,25.0,0.0,0.0,0.2504944907099303,0.0,?,0.0,0.2,25.0,1712.0
26.0,0.029492,1.1563882645633484E-11,26.0,0.0,0.0,0.24547547183647142,0.0,?,0.0,0.2,26.0,1712.0
27.0,0.029929,1.175742803348435E-11,27.0,0.0,0.0,0.24065729196788416,0.0,?,0.0,0.2,27.0,1712.0
28.0,0.030624,1.2065240492423374E-11,28.0,0.0,0.0,0.2360306426515708,0.0,?,0.0,0.2,28.0,1712.0
29.0,0.032016,1.2681751201550164E-11,29.0,0.0,0.0,0.2315862362547186,0.0,?,0.0,0.2,29.0,1712.0
30.0,0.03245,1.2873967902527914E-11,30.0,0.0,0.0,0.22731497090829697,0.0,?,0.0,0.2,30.0,1712.0
31.0,0.032999,1.3117117600308523E-11,31.0,0.0,0.0,0.223208036362868,0.0,?,0.0,0.2,31.0,1712.0
32.0,0.033557,1.3364253358708486E-11,32.0,0.0,0.0,0.21925697877491548,0.0,?,0.0,0.2,32.0,1712.0
33.0,0.034476,1.3771274437506991E-11,33.0,0.0,0.0,0.21545373699385745,0.0,?,0.0,0.2,33.0,1712.0
