learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.98E-4,2.0644317070643105E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1000.0
2.0,0.005036,1.302816801600986E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1000.0
3.0,0.00616,1.593596405453152E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1000.0
4.0,0.007222,1.868336564964718E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1000.0
5.0,0.008258,2.136350505881839E-12,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,1000.0
6.0,0.009235,2.389101104603873E-12,6.0,0.0,0.0,0.0,0.0,?,0.0,0.2,6.0,1000.0
7.0,0.010086,2.6092554132143653E-12,7.0,0.0,0.0,0.14285714285714285,0.0,?,0.0,0.2,7.0,1000.0
8.0,0.01087,2.8120767739084027E-12,8.0,0.0,0.0,1.0,0.0,?,0.0,0.2,8.0,1000.0
9.0,0.011701,3.0270570682154757E-12,9.0,0.0,0.0,1.5555555555555556,0.0,?,0.0,0.2,9.0,1000.0
10.0,0.012914,3.3408610357178577E-12,10.0,0.0,0.0,1.85,0.0,?,0.0,0.2,10.0,1000.0
11.0,0.013629,3.5258320470650987E-12,11.0,0.0,0.0,2.090909090909091,0.0,?,0.0,0.2,11.0,1000.0
12.0,0.014273,3.692435307635201E-12,12.0,0.0,0.0,2.2916666666666665,0.0,?,0.0,0.2,12.0,1000.0
13.0,0.014889,3.851794948180517E-12,13.0,0.0,0.0,2.4615384615384617,0.0,?,0.0,0.2,13.0,1000.0
14.0,0.015463,4.0002891586886515E-12,14.0,0.0,0.0,2.607142857142857,0.0,?,0.0,0.2,14.0,1000.0
15.0,0.016047,4.151370376348496E-12,15.0,0.0,0.0,2.7333333333333334,0.0,?,0.0,0.2,15.0,1000.0
16.0,0.016513,4.271924909618166E-12,16.0,0.0,0.0,2.84375,0.0,?,0.0,0.2,16.0,1000.0
17.0,0.016962,4.38808153072993E-12,17.0,0.0,0.0,2.9411764705882355,0.0,?,0.0,0.2,17.0,1000.0
18.0,0.017402,4.501909845405155E-12,18.0,0.0,0.0,3.0277777777777777,0.0,?,0.0,0.2,18.0,1000.0
19.0,0.018149,4.695159279637867E-12,19.0,0.0,0.0,3.1052631578947367,0.0,?,0.0,0.2,19.0,1000.0
20.0,0.018555,4.800191769997279E-12,20.0,0.0,0.0,3.175,0.0,?,0.0,0.2,20.0,1000.0
21.0,0.018989,4.912467880381478E-12,21.0,0.0,0.0,3.1904761904761907,0.0,?,0.0,0.2,21.0,1000.0
22.0,0.01939,5.016206867165036E-12,22.0,0.0,0.0,3.3636363636363638,0.0,?,0.0,0.2,22.0,1000.0
23.0,0.021106,5.460137294398414E-12,23.0,0.0,0.0,3.5217391304347827,0.0,?,0.0,0.2,23.0,1000.0
24.0,0.021486,5.558443566163382E-12,24.0,0.0,0.0,3.625,0.0,?,0.0,0.2,24.0,1000.0
25.0,0.02187,5.6577846407890325E-12,25.0,0.0,0.0,3.72,0.0,?,0.0,0.2,25.0,1000.0
26.0,0.022258,5.7581605182753674E-12,26.0,0.0,0.0,3.8076923076923075,0.0,?,0.0,0.2,26.0,1000.0
27.0,0.022633,5.8551732864644796E-12,27.0,0.0,0.0,3.888888888888889,0.0,?,0.0,0.2,27.0,1000.0
28.0,0.023007,5.951927353938421E-12,28.0,0.0,0.0,3.9642857142857144,0.0,?,0.0,0.2,28.0,1000.0
29.0,0.023379,6.0481640199820205E-12,29.0,0.0,0.0,4.0344827586206895,0.0,?,0.0,0.2,29.0,1000.0
30.0,0.023752,6.144659386740791E-12,30.0,0.0,0.0,4.1,0.0,?,0.0,0.2,30.0,1000.0
31.0,0.024168,6.2522788842519124E-12,31.0,0.0,0.0,4.161290322580645,0.0,?,0.0,0.2,31.0,1000.0
32.0,0.024745,6.40154919690556E-12,32.0,0.0,0.0,4.1875,0.0,?,0.0,0.2,32.0,1000.0
33.0,0.025137,6.502959877252579E-12,33.0,0.0,0.0,4.254545454545455,0.0,?,0.0,0.2,33.0,1000.0
34.0,0.025499,6.596609536144469E-12,34.0,0.0,0.0,4.288235294117648,0.0,?,0.0,0.2,34.0,1000.0
35.0,0.02589,6.697761515776317E-12,35.0,0.0,0.0,4.327619047619048,0.0,?,0.0,0.2,35.0,1000.0
36.0,0.026244,6.789341568946839E-12,36.0,0.0,0.0,4.364814814814815,0.0,?,0.0,0.2,36.0,1000.0
37.0,0.026813,6.9365422758791185E-12,37.0,0.0,0.0,4.3999999999999995,0.0,?,0.0,0.2,37.0,1000.0
38.0,0.027298,7.062012122737037E-12,38.0,0.0,0.0,4.407017543859649,0.0,?,0.0,0.2,38.0,1000.0
39.0,0.02766,7.155661781628927E-12,39.0,0.0,0.0,4.433211233211233,0.0,?,0.0,0.2,39.0,1000.0
40.0,0.028007,7.245430929793252E-12,40.0,0.0,0.0,4.458095238095237,0.0,?,0.0,0.2,40.0,1000.0
41.0,0.028375,7.340632792976168E-12,41.0,0.0,0.0,4.481765389082461,0.0,?,0.0,0.2,41.0,1000.0
42.0,0.028732,7.432988948292202E-12,42.0,0.0,0.0,4.504308390022674,0.0,?,0.0,0.2,42.0,1000.0
43.0,0.029086,7.524569001462725E-12,43.0,0.0,0.0,4.525802879291249,0.0,?,0.0,0.2,43.0,1000.0
44.0,0.029481,7.626755783955257E-12,44.0,0.0,0.0,4.546320346320344,0.0,?,0.0,0.2,44.0,1000.0
45.0,0.029816,7.713420523537531E-12,45.0,0.0,0.0,4.5659259259259235,0.0,?,0.0,0.2,45.0,1000.0
46.0,0.030156,7.80137876669566E-12,46.0,0.0,0.0,4.5846790890269125,0.0,?,0.0,0.2,46.0,1000.0
47.0,0.030501,7.890630513429643E-12,47.0,0.0,0.0,4.602634245187434,0.0,?,0.0,0.2,47.0,1000.0
48.0,0.030914,7.997473908795252E-12,48.0,0.0,0.0,4.619841269841267,0.0,?,0.0,0.2,48.0,1000.0
49.0,0.031304,8.098367187711929E-12,49.0,0.0,0.0,4.636345966958209,0.0,?,0.0,0.2,49.0,1000.0
50.0,0.031692,8.198743065198264E-12,50.0,0.0,0.0,4.632190476190472,0.0,?,0.0,0.2,50.0,1000.0
51.0,0.032067,8.295755833387377E-12,51.0,0.0,0.0,4.663912231559287,0.0,?,0.0,0.2,51.0,1000.0
52.0,0.032386,8.378281361526915E-12,52.0,0.0,0.0,4.6944139194139165,0.0,?,0.0,0.2,52.0,1000.0
53.0,0.032719,8.464428699678847E-12,53.0,0.0,0.0,4.70489667565139,0.0,?,0.0,0.2,53.0,1000.0
54.0,0.033001,8.537382301357059E-12,54.0,0.0,0.0,4.7268224573780095,0.0,?,0.0,0.2,54.0,1000.0
55.0,0.033287,8.611370705895955E-12,55.0,0.0,0.0,4.747950937950935,0.0,?,0.0,0.2,55.0,1000.0
56.0,0.033579,8.686911314725878E-12,56.0,0.0,0.0,4.76832482993197,0.0,?,0.0,0.2,56.0,1000.0
57.0,0.033857,8.758830113543406E-12,57.0,0.0,0.0,4.787983848510162,0.0,?,0.0,0.2,57.0,1000.0
58.0,0.034128,8.828938007354738E-12,58.0,0.0,0.0,4.806964969896002,0.0,?,0.0,0.2,58.0,1000.0
59.0,0.034398,8.8987872004509E-12,59.0,0.0,0.0,4.825302663438255,0.0,?,0.0,0.2,59.0,1000.0
60.0,0.034679,8.971482101413941E-12,60.0,0.0,0.0,4.826362433862433,0.0,?,0.0,0.2,60.0,1000.0
61.0,0.034973,9.047540111674206E-12,61.0,0.0,0.0,4.845602393963049,0.0,?,0.0,0.2,61.0,1000.0
62.0,0.035241,9.116871903340025E-12,62.0,0.0,0.0,4.864221710189451,0.0,?,0.0,0.2,62.0,1000.0
63.0,0.03553,9.191636410024434E-12,63.0,0.0,0.0,4.882249937011841,0.0,?,0.0,0.2,63.0,1000.0
64.0,0.035808,9.263555208841962E-12,64.0,0.0,0.0,4.899714781746031,0.0,?,0.0,0.2,64.0,1000.0
65.0,0.040102,1.0374416079786092E-11,65.0,0.0,0.0,4.916642246642246,0.0,?,0.0,0.2,65.0,1000.0
66.0,0.040641,1.0513855765263244E-11,66.0,0.0,0.0,4.9330567580567575,0.0,?,0.0,0.2,66.0,1000.0
67.0,0.040941,1.0591465979814533E-11,67.0,0.0,0.0,4.94898128405591,0.0,?,0.0,0.2,67.0,1000.0
68.0,0.041214,1.0662091275056208E-11,68.0,0.0,0.0,4.964437441643323,0.0,?,0.0,0.2,68.0,1000.0
69.0,0.041497,1.0735303577449591E-11,69.0,0.0,0.0,4.979445594662986,0.0,?,0.0,0.2,69.0,1000.0
70.0,0.041772,1.0806446274121607E-11,70.0,0.0,0.0,4.994024943310657,0.0,?,0.0,0.2,70.0,1000.0
71.0,0.042059,1.0880693379375675E-11,71.0,0.0,0.0,5.008193606080929,0.0,?,0.0,0.2,71.0,1000.0
72.0,0.042323,1.094899036818081E-11,72.0,0.0,0.0,5.021968694885361,0.0,?,0.0,0.2,72.0,1000.0
73.0,0.042596,1.1019615663422484E-11,73.0,0.0,0.0,5.035366383996521,0.0,?,0.0,0.2,73.0,1000.0
74.0,0.042871,1.10907583600945E-11,74.0,0.0,0.0,5.0484019734019725,0.0,?,0.0,0.2,74.0,1000.0
75.0,0.043143,1.1161124954621004E-11,75.0,0.0,0.0,5.061089947089946,0.0,?,0.0,0.2,75.0,1000.0
76.0,0.043431,1.1235630760590243E-11,76.0,0.0,0.0,5.060286131996658,0.0,?,0.0,0.2,76.0,1000.0
77.0,0.043697,1.130444515082572E-11,77.0,0.0,0.0,5.084296583647233,0.0,?,0.0,0.2,77.0,1000.0
78.0,0.043972,1.1375587847497736E-11,78.0,0.0,0.0,5.107691382691383,0.0,?,0.0,0.2,78.0,1000.0
79.0,0.044244,1.144595444202424E-11,79.0,0.0,0.0,5.13049390834201,0.0,?,0.0,0.2,79.0,1000.0
80.0,0.044503,1.151295792725352E-11,80.0,0.0,0.0,5.152726370851371,0.0,?,0.0,0.2,80.0,1000.0
81.0,0.044785,1.1585911528931732E-11,81.0,0.0,0.0,5.174409883669144,0.0,?,0.0,0.2,81.0,1000.0
82.0,0.045053,1.165524332059755E-11,82.0,0.0,0.0,5.183369408369409,0.0,?,0.0,0.2,82.0,1000.0
